In2Se3_bronze from Matlab for Lammps

300 atoms

2 atom types

-38.320985 38.320985 xlo xhi
-2.150000 1.900000 ylo yhi
-38.320985 38.320985 zlo zhi

Masses

1 1.148180e+02
2 7.896000e+01

Atoms

286 2 -36.505456 -1.150000 7.759354
287 2 -37.116549 0.900000 3.900989
288 2 -34.094464 -1.150000 15.179705
289 2 -35.494402 0.900000 11.532707
290 2 -30.193380 -1.150000 21.936630
291 2 -32.320980 0.900000 18.660391
292 2 -24.972701 -1.150000 27.734818
293 2 -27.734975 0.900000 24.972526
294 2 -18.660594 -1.150000 32.320863
295 2 -21.936819 0.900000 30.193242
296 2 -11.532930 -1.150000 35.494330
297 2 -15.179919 0.900000 34.094369
298 2 -3.901222 -1.150000 37.116525
299 2 -7.759584 0.900000 36.505408
300 2 -0.000117 0.900000 37.320985
